 1 Range: [1, 7]  Value: 3 Lazy: 0 Len: [1, 7] (7)
 2 Range: [1, 4]  Value: 3 Lazy: 0 Len: [1, 4] (4)
 4 Range: [1, 2]  Value: 1 Lazy: 0 Len: [1, 2] (2)
 8 Range: [1, 1]  Value: 0 Lazy: 0 Len: [1, 1] (1)
 9 Range: [2, 2]  Value: 1 Lazy: 1 Len: [2, 2] (1)
 5 Range: [3, 4]  Value: 2 Lazy: 1 Len: [3, 4] (2)
10 Range: [3, 3]  Value: 0 Lazy: 0 Len: [3, 3] (1)
11 Range: [4, 4]  Value: 0 Lazy: 0 Len: [4, 4] (1)
 3 Range: [5, 7]  Value: 0 Lazy: 0 Len: [5, 7] (3)
 6 Range: [5, 6]  Value: 0 Lazy: 0 Len: [5, 6] (2)
12 Range: [5, 5]  Value: 0 Lazy: 0 Len: [5, 5] (1)
13 Range: [6, 6]  Value: 0 Lazy: 0 Len: [6, 6] (1)
 7 Range: [7, 7]  Value: 0 Lazy: 0 Len: [7, 7] (1)
3
 1 Range: [1, 7]  Value: 3 Lazy: 0 Len: [1, 7] (7)
 2 Range: [1, 4]  Value: 3 Lazy: 0 Len: [1, 4] (4)
 4 Range: [1, 2]  Value: 1 Lazy: 0 Len: [1, 2] (2)
 8 Range: [1, 1]  Value: 0 Lazy: 0 Len: [1, 1] (1)
 9 Range: [2, 2]  Value: 1 Lazy: 1 Len: [2, 2] (1)
 5 Range: [3, 4]  Value: 2 Lazy: 1 Len: [3, 4] (2)
10 Range: [3, 3]  Value: 0 Lazy: 0 Len: [3, 3] (1)
11 Range: [4, 4]  Value: 0 Lazy: 0 Len: [4, 4] (1)
 3 Range: [5, 7]  Value: 0 Lazy: 0 Len: [5, 7] (3)
 6 Range: [5, 6]  Value: 0 Lazy: 0 Len: [5, 6] (2)
12 Range: [5, 5]  Value: 0 Lazy: 0 Len: [5, 5] (1)
13 Range: [6, 6]  Value: 0 Lazy: 0 Len: [6, 6] (1)
 7 Range: [7, 7]  Value: 0 Lazy: 0 Len: [7, 7] (1)
 1 Range: [1, 7]  Value: 7 Lazy: 0 Len: [1, 7] (7)
 2 Range: [1, 4]  Value: 5 Lazy: 0 Len: [1, 4] (4)
 4 Range: [1, 2]  Value: 1 Lazy: 0 Len: [1, 2] (2)
 8 Range: [1, 1]  Value: 0 Lazy: 0 Len: [1, 1] (1)
 9 Range: [2, 2]  Value: 1 Lazy: 1 Len: [2, 2] (1)
 5 Range: [3, 4]  Value: 4 Lazy: 2 Len: [3, 4] (2)
10 Range: [3, 3]  Value: 0 Lazy: 0 Len: [3, 3] (1)
11 Range: [4, 4]  Value: 0 Lazy: 0 Len: [4, 4] (1)
 3 Range: [5, 7]  Value: 2 Lazy: 0 Len: [5, 7] (3)
 6 Range: [5, 6]  Value: 2 Lazy: 1 Len: [5, 6] (2)
12 Range: [5, 5]  Value: 0 Lazy: 0 Len: [5, 5] (1)
13 Range: [6, 6]  Value: 0 Lazy: 0 Len: [6, 6] (1)
 7 Range: [7, 7]  Value: 0 Lazy: 0 Len: [7, 7] (1)
6
 1 Range: [1, 7]  Value: 7 Lazy: 0 Len: [1, 7] (7)
 2 Range: [1, 4]  Value: 5 Lazy: 0 Len: [1, 4] (4)
 4 Range: [1, 2]  Value: 1 Lazy: 0 Len: [1, 2] (2)
 8 Range: [1, 1]  Value: 0 Lazy: 0 Len: [1, 1] (1)
 9 Range: [2, 2]  Value: 1 Lazy: 1 Len: [2, 2] (1)
 5 Range: [3, 4]  Value: 4 Lazy: 2 Len: [3, 4] (2)
10 Range: [3, 3]  Value: 0 Lazy: 0 Len: [3, 3] (1)
11 Range: [4, 4]  Value: 0 Lazy: 0 Len: [4, 4] (1)
 3 Range: [5, 7]  Value: 2 Lazy: 0 Len: [5, 7] (3)
 6 Range: [5, 6]  Value: 2 Lazy: 0 Len: [5, 6] (2)
12 Range: [5, 5]  Value: 1 Lazy: 1 Len: [5, 5] (1)
13 Range: [6, 6]  Value: 1 Lazy: 1 Len: [6, 6] (1)
 7 Range: [7, 7]  Value: 0 Lazy: 0 Len: [7, 7] (1)
7
 1 Range: [1, 7]  Value: 7 Lazy: 0 Len: [1, 7] (7)
 2 Range: [1, 4]  Value: 5 Lazy: 0 Len: [1, 4] (4)
 4 Range: [1, 2]  Value: 1 Lazy: 0 Len: [1, 2] (2)
 8 Range: [1, 1]  Value: 0 Lazy: 0 Len: [1, 1] (1)
 9 Range: [2, 2]  Value: 1 Lazy: 1 Len: [2, 2] (1)
 5 Range: [3, 4]  Value: 4 Lazy: 2 Len: [3, 4] (2)
10 Range: [3, 3]  Value: 0 Lazy: 0 Len: [3, 3] (1)
11 Range: [4, 4]  Value: 0 Lazy: 0 Len: [4, 4] (1)
 3 Range: [5, 7]  Value: 2 Lazy: 0 Len: [5, 7] (3)
 6 Range: [5, 6]  Value: 2 Lazy: 0 Len: [5, 6] (2)
12 Range: [5, 5]  Value: 1 Lazy: 1 Len: [5, 5] (1)
13 Range: [6, 6]  Value: 1 Lazy: 1 Len: [6, 6] (1)
 7 Range: [7, 7]  Value: 0 Lazy: 0 Len: [7, 7] (1)
